:smile:,Smile
:ooooh:,Ooooh
:kuss:,Kuss
:lachen:,Lachen
:peinlich:,Peinlich
:niedergeschmettert:,Niedergeschmettert
:beleidigt:,beleidigt
:zwinker:,Zwinker
:grmpf:,Grmpf
:knatsch:,Knatsch
:cool:,Cool
:smirksmile:,Smirksmile
:blume:,Blume
:freches grinsen:,Freches Grinsen
:unterwerf:,Unterwerf
:ahoi:,Ahoi
:jubel:,Jubel
:allesok:,Alles o.k.
:heul:,Heul
:knicks:,Knicks
:yeah:,Yeah
:musiker:,Musiker
:Sonne:,Sonne
:schnee_nikolaus:,Schnee-Nikolaus
:krone auf:,Krone auf
:aetsch:,Aetsch
:fg engel:,Frech grinsender Engel
:engel:,Engel
:gegen die wand:,Gegen die Wand
:wangenkuss:,Wangenkuss
:entspann:,Entspann
:buch lesen:,Buch lesen
:geburtstag:,Geburtstag
:prost:,Prost
:in den arm nehmen:,In den Arm nehmen
:schneemann:,Schneemann
:wie?:,Wie?
:nudelholz:,Nudelholz
:zahnschmerzen:,Zahnschmerzen
:hunger:,Hunger
:weißekerze:,weiße Kerze
:fluestertuete:,Fluestertuete
:pfeifend:,pfeifend
:blumengabe:,Blumengabe
:schlaf gut:,Schlaf gut
:regen:,Regen
:schild ...uups:,Schild ...uups
:liebe:,Liebe
:kerze:,Kerze
:pc kaputt:,PC kaputt
:tassenkasper:,Tassenkasper
:halloween:,Halloween
:osterhase:,Osterhase
:ostersmiley:,Ostersmiley
:nikolaus:,Nikolaus
:schild genau:,Schild genau
:schild nein:,Schild Nein
:zauberer:,Zauberer
:fussballmaedchen:,Fussballmädchen
:fussball:,Fussball
:erleuchtung:,Erleuchtung
:krank:,krank
:kristallkugel:,Kristallkugel
:teufelchen:,Teufelchen
:gähnen:,gähnen
:erleichtert:,Schweiß von der Stirm wischen
:katze:,Katze
:hund:,Hund
:stricken:,Stricken
:traenenlachend:,Tränen lachend
